VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
2931, 13905,  4.87519,  2.50274, -9.72517,  0.23099,  0.39762, -0.888,  0.25338,  0.76539,  0.25338,  0.76539
2932, 13906,  3.62096,  2.87962, -9.88268,  0.23099,  0.39762, -0.888,  0.34003,  0.75835,  0.34003,  0.75835
2933, 13907,  4.05795,  6.18282, -8.28993,  0.23099,  0.39762, -0.888,  0.34003,  0.50357,  0.34003,  0.50357
2934, 13908,  2.62271,  2.46327, -9.10717,  0.01326, -0.99976,  0.01741,  0.61715,  0.06173,  0.61715,  0.06173
2935, 13909,  3.62096,  2.87962, -9.88268,  0.01326, -0.99976,  0.01741,  0.55722,  0.0001,  0.55722,  0.0001
2936, 13910,  4.87519,  2.50274, -9.72517,  0.01326, -0.99976,  0.01741,  0.47272,  0.00,  0.47272,  0.00
2937, 13910,  4.87519,  2.50274, -9.72517,  0.01326, -0.99976,  0.01741,  0.47272,  0.00,  0.47272,  0.00
2938, 13911,  5.65069,  2.87962, -8.72692,  0.01326, -0.99976,  0.01741,  0.4129,  0.06212,  0.4129,  0.06212
2939, 13908,  2.62271,  2.46327, -9.10717,  0.01326, -0.99976,  0.01741,  0.61715,  0.06173,  0.61715,  0.06173
2940, 13911,  5.65069,  2.87962, -8.72692,  0.01326, -0.99976,  0.01741,  0.4129,  0.06212,  0.4129,  0.06212
2941, 13912,  2.4652,  2.87962, -7.85294,  0.01326, -0.99976,  0.01741,  0.61715,  0.14946,  0.61715,  0.14946
2942, 13908,  2.62271,  2.46327, -9.10717,  0.01326, -0.99976,  0.01741,  0.61715,  0.06173,  0.61715,  0.06173
2943, 13911,  5.65069,  2.87962, -8.72692,  0.01326, -0.99976,  0.01741,  0.4129,  0.06212,  0.4129,  0.06212
2944, 13913,  5.49318,  2.59634, -7.47269,  0.01326, -0.99976,  0.01741,  0.41303,  0.14951,  0.41303,  0.14951
2945, 13912,  2.4652,  2.87962, -7.85294,  0.01326, -0.99976,  0.01741,  0.61715,  0.14946,  0.61715,  0.14946
2946, 13913,  5.49318,  2.59634, -7.47269,  0.01326, -0.99976,  0.01741,  0.41303,  0.14951,  0.41303,  0.14951
2947, 13914,  3.24071,  2.55938, -6.85469,  0.01326, -0.99976,  0.01741,  0.55746,  0.21125,  0.55746,  0.21125
2948, 13912,  2.4652,  2.87962, -7.85294,  0.01326, -0.99976,  0.01741,  0.61715,  0.14946,  0.61715,  0.14946
2949, 13913,  5.49318,  2.59634, -7.47269,  0.01326, -0.99976,  0.01741,  0.41303,  0.14951,  0.41303,  0.14951
2950, 13915,  4.49494,  2.87962, -6.69719,  0.01326, -0.99976,  0.01741,  0.47283,  0.21148,  0.47283,  0.21148
2951, 13914,  3.24071,  2.55938, -6.85469,  0.01326, -0.99976,  0.01741,  0.55746,  0.21125,  0.55746,  0.21125
2952, 2068,  2.43225,  1.02607, -7.55589, -0.72639,  0.39232,  0.56431,  0.03845,  0.04432,  0.03845,  0.04432
2953, 2067,  3.42745,  1.5245, -6.62134, -0.72639,  0.39232,  0.56431,  0.00,  0.11673,  0.00,  0.11673
2954, 2062,  4.05795,  5.09198, -8.28993, -0.72639,  0.39232,  0.56431,  0.19234,  0.30581,  0.19234,  0.30581
2955, 2069,  2.38936,  1.5245, -8.92043, -0.90366,  0.39232,  0.17171,  0.13459,  0.03945,  0.13459,  0.03945
2956, 13916,  2.43225,  1.02607, -7.55589, -0.90366,  0.39232,  0.17171,  0.03845,  0.04432,  0.03845,  0.04432
2957, 13917,  4.05795,  5.09198, -8.28993, -0.90366,  0.39232,  0.17171,  0.19234,  0.30581,  0.19234,  0.30581
2958, 2066,  4.79199,  1.07642, -6.66424,  0.5741,  0.39525,  0.71707,  0.06739,  0.30581,  0.06739,  0.30581
2959, 2065,  5.72654,  1.5245, -7.65944,  0.5741,  0.39525,  0.71707,  0.00,  0.3717,  0.00,  0.3717
2960, 13918,  4.05795,  5.09198, -8.28993,  0.5741,  0.39525,  0.71707,  0.16011,  0.5925,  0.16011,  0.5925
2961, 13919,  5.72654,  1.5245, -7.65944,  0.90658,  0.40051, -0.13309,  0.70197,  0.75975,  0.70197,  0.75975
2962, 2064,  5.68364,  1.16816, -9.02398,  0.90658,  0.40051, -0.13309,  0.78785,  0.79854,  0.78785,  0.79854
2963, 13920,  4.05795,  5.09198, -8.28993,  0.90658,  0.40051, -0.13309,  0.78785,  0.50156,  0.78785,  0.50156
