VTX, IDX, POSITION.x, POSITION.y, POSITION.z, TEXCOORD0.x, TEXCOORD0.y
25558, 5006, -0.00351,  0.21087,  0.02262,  0.01967,  0.10505
25559, 5004,  0.00307,  0.19838,  0.02159,  0.01956,  0.09905
25560, 5006, -0.00351,  0.21087,  0.02262,  0.01967,  0.10505
25561, 5005,  0.0059,  0.19526,  0.01297,  0.01395,  0.09692
25562, 5004,  0.00307,  0.19838,  0.02159,  0.01956,  0.09905
25563, 5003, -0.00211,  0.20276,  0.03372,  0.02743,  0.10283
25564, 5002, -0.01187,  0.21568,  0.03692,  0.02841,  0.1104
25565, 5007, -0.01242,  0.22214,  0.02435,  0.01986,  0.11222
25566, 5003, -0.00211,  0.20276,  0.03372,  0.02743,  0.10283
25567, 5007, -0.01242,  0.22214,  0.02435,  0.01986,  0.11222
25568, 5006, -0.00351,  0.21087,  0.02262,  0.01967,  0.10505
25569, 5008, -0.01266,  0.22548,  0.01207,  0.01245,  0.11353
25570, 5006, -0.00351,  0.21087,  0.02262,  0.01967,  0.10505
25571, 5007, -0.01242,  0.22214,  0.02435,  0.01986,  0.11222
25572, 5008, -0.01266,  0.22548,  0.01207,  0.01245,  0.11353
25573, 5009, -0.00348,  0.21266,  0.01181,  0.01274,  0.10541
25574, 5006, -0.00351,  0.21087,  0.02262,  0.01967,  0.10505
25575, 5006, -0.00351,  0.21087,  0.02262,  0.01967,  0.10505
25576, 5009, -0.00348,  0.21266,  0.01181,  0.01274,  0.10541
25577, 5005,  0.0059,  0.19526,  0.01297,  0.01395,  0.09692
25578, 5010,  0.00675,  0.19491,  0.0002,  0.00546,  0.09666
25579, 4987,  0.01515,  0.17214,  0.01882,  0.0189,  0.08641
25580, 5005,  0.0059,  0.19526,  0.01297,  0.01395,  0.09692
25581, 5010,  0.00675,  0.19491,  0.0002,  0.00546,  0.09666
25582, 5011,  0.0165,  0.17204,  0.0002,  0.00556,  0.08562
25583, 4987,  0.01515,  0.17214,  0.01882,  0.0189,  0.08641
25584, 5012, -0.0034,  0.21317,  0.0002,  0.00543,  0.1058
25585, 5010,  0.00675,  0.19491,  0.0002,  0.00546,  0.09666
25586, 5005,  0.0059,  0.19526,  0.01297,  0.01395,  0.09692
25587, 5012, -0.0034,  0.21317,  0.0002,  0.00543,  0.1058
